state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,date
MA,0,0,73,0,0,73,,0,16038,73,13758,73,,0,122,73,0,1,3,72,,0,1017,73,,0,57,73,,0,664,73,,0,26,72,1242,73,0.857837635615413,73,13758,16038,,,,,,,,,,,,,0.818840579710145,73,1017,1242,,0,73,2,73,7,73,3,73,11,73,21,73,35,73,41,73,2,73,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,0,,,,,,,27,73,51,73,,0,,0,182,,0,73,712,72,945,72,2,72,0,72,1,72,0,72,1,72,153,72,182,72,12/23/2023 12:00:00 AM
AK,1,5,13,1,16,2,0,8,1090,19,816,19,3,8,2,19,0,8,0,19,0,8,73,19,0,10,2,19,3,8,10,19,0,8,0,19,104,19,0.748623853211009,19,816,1090,0.006493506493506,8,3,462,0.004769475357711,8,3,629,0,10,0,62,0.701923076923077,19,73,104,,0,18,0,17,0,17,0,17,0,17,1,17,1,18,0,17,0,19,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,1,9,0,0,0,0,0,0,2,19,1,19,0,8,0,8,7,0,7,19,33,19,52,19,0,19,0,17,0,17,0,19,0,19,5,19,5,19,12/23/2023 12:00:00 AM
CA,7,121,221,22,259,68,23,172,59883,349,46409,349,1979,164,468,349,150,181,13,341,6,162,4684,349,198,165,235,349,1893,164,2174,349,86,165,120,341,6352,349,0.774994572750196,349,46409,59883,0.077595671267252,164,1979,25504,0.060761436905127,164,1979,32570,0.055307262569832,165,198,3580,0.737405541561713,349,4684,6352,,1,346,15,344,31,342,20,344,51,344,74,345,120,345,141,346,15,347,1,179,6,179,14,179,7,179,18,179,23,179,39,179,35,179,7,168,13,155,1931,1022,518,0,0,0,149,349,240,349,0,117,1,149,1155,56,145,349,2941,341,4369,341,6,339,4,339,2,338,1,337,18,341,936,341,1252,341,12/23/2023 12:00:00 AM
FL,3,40,169,8,124,80,8,106,53574,212,38463,212,660,96,206,212,159,120,11,206,18,107,4429,212,91,96,145,212,623,96,892,212,37,96,35,206,5994,212,0.717941538806137,212,38463,53574,0.032048169369719,96,660,20594,0.022404019145253,96,660,29459,0.027922675667383,96,91,3259,0.738905572238906,212,4429,5994,,0,208,1,206,7,206,6,207,16,207,28,207,57,208,79,208,12,212,0,119,5,117,14,117,14,117,15,117,29,117,24,117,28,117,30,119,11,87,354,0,0,0,40,270,78,212,158,212,0,94,2,94,598,13,94,212,1744,206,2540,206,7,206,2,200,1,200,1,204,10,206,709,206,975,206,12/23/2023 12:00:00 AM
SC,11,10,41,11,36,15,6,44,9599,62,7277,62,257,42,56,62,4,44,0,60,0,42,823,62,28,42,38,62,229,42,274,62,28,42,25,60,1188,62,0.758099802062715,62,7277,9599,0.045382306198128,42,257,5663,0.035195836757053,42,257,7302,0.031567080045096,42,28,887,0.692760942760943,62,823,1188,,0,61,3,58,1,58,2,58,2,58,14,58,18,59,16,58,0,57,0,44,0,44,0,44,0,44,0,44,0,44,3,44,1,44,0,39,1,31,365,1595,645,0,0,0,59,62,63,62,0,29,0,29,369,4,29,62,333,60,472,60,0,60,0,56,0,56,0,55,6,60,113,60,144,60,12/23/2023 12:00:00 AM
MN,0,0,128,6,79,43,0,11,9285,128,7516,128,11,11,72,128,0,12,7,127,0,11,621,128,3,11,39,128,11,11,411,126,0,11,20,127,840,128,0.809477652127087,128,7516,9285,0.100917431192661,11,11,109,0.03859649122807,11,11,285,0.1875,11,3,16,0.739285714285714,128,621,840,,1,128,2,128,4,128,0,128,5,128,12,128,19,128,29,128,0,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,0,522,,176,0,,0,9,128,19,128,,0,,0,81,,0,128,502,127,669,127,6,127,0,127,1,127,0,127,6,127,102,127,137,127,12/23/2023 12:00:00 AM
OK,0,1,124,12,88,25,7,28,8466,125,5460,125,275,27,74,125,60,81,5,123,0,27,653,125,52,27,62,125,258,27,313,125,17,27,16,123,910,125,0.644932671863926,125,5460,8466,0.09575208913649,27,275,2872,0.070242656449553,27,275,3915,0.1003861003861,27,52,518,0.717582417582418,125,653,910,,0,123,1,119,2,118,0,118,4,118,12,119,34,120,18,119,3,125,0,29,2,29,6,29,6,29,5,29,12,29,15,29,14,29,0,29,0,28,0,0,0,0,0,0,6,125,22,125,0,22,0,22,47,1,22,125,285,123,402,123,4,123,0,115,1,116,0,113,0,123,51,123,90,123,12/23/2023 12:00:00 AM
MO,2,18,91,19,57,35,15,44,14110,111,11464,111,552,39,117,111,164,45,3,107,22,39,1317,111,83,39,85,111,521,39,640,111,31,39,23,107,1723,111,0.812473423104182,111,11464,14110,0.10840534171249,39,552,5092,0.092757519744581,39,552,5951,0.103879849812265,39,83,799,0.764364480557168,111,1317,1723,,0,110,2,105,6,105,1,105,6,105,23,105,39,106,40,106,0,111,0,44,8,44,8,44,11,44,22,44,41,45,35,45,39,45,0,45,3,42,0,0,0,0,0,0,21,111,38,111,0,44,0,44,131,2,45,111,720,107,843,107,2,107,0,100,0,100,1,107,7,107,180,107,214,107,12/23/2023 12:00:00 AM
WV,0,0,54,0,3,51,,0,4713,54,3572,54,,0,41,54,0,4,3,50,,0,464,54,,0,34,54,,0,257,54,,0,7,50,589,54,0.757903670698069,54,3572,4713,,,,,,,,,,,,,0.787775891341256,54,464,589,,0,54,0,54,1,54,2,54,2,54,6,54,10,54,20,54,0,54,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,,0,,,,,,,5,54,11,54,,0,,0,41,,0,54,197,50,276,50,2,50,1,50,0,50,0,3,2,50,41,50,45,50,12/23/2023 12:00:00 AM
ID,0,9,38,1,41,5,1,30,2899,47,1940,47,103,29,21,47,0,30,4,46,2,29,206,47,9,29,11,47,92,29,93,47,11,29,6,46,273,47,0.66919627457744,47,1940,2899,0.065563335455124,29,103,1571,0.04531456225253,29,103,2273,0.04147465437788,29,9,217,0.754578754578755,47,206,273,,0,47,1,41,0,41,2,41,0,41,7,41,6,41,5,41,0,47,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,2,27,329,40,226,0,0,0,4,47,18,47,0,12,0,12,41,67,12,47,61,46,39,46,2,46,0,40,1,40,1,46,0,46,12,46,9,46,12/23/2023 12:00:00 AM
